,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B08201_003E,B08201_004E,B08201_005E,B08201_006E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,county,tract,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year
0,"Census Tract 1.01, Providence County, Rhode Island",,2003,169,,327,,97,,147,,222,,68,,0,,1696,123,23,44444,2158,1212,113,480,422,146,51,1212,675,537,5052,2165,838,56,333,198,2281,946,120,345,21,44,7,101,,,,,78.59128822984245,5.6997219647822055,9.323432343234323,972.566371681416,44.306930693069305,55.693069306930695,42.854315122723676,57.145684877276324,2010
1,"Census Tract 1.02, Providence County, Rhode Island",,2244,291,,226,,191,,156,,97,,40,,96,,1995,143,21,39853,2276,1834,243,747,674,149,21,1834,1060,774,4854,1333,1308,76,186,122,1384,1407,104,209,0,44,7,102,,,,,87.65377855887522,6.282952548330405,13.249727371864775,654.7325102880659,42.20283533260633,57.79716466739367,27.46188710341986,72.53811289658015,2010
2,"Census Tract 2, Providence County, Rhode Island",,2277,310,,320,,233,,111,,163,,27,,68,,2054,99,0,28750,2397,2010,410,1076,481,43,0,2010,621,1389,5874,1149,869,9,468,106,1255,941,9,509,0,44,7,200,,,,,85.69044639132248,4.130162703379224,20.398009950248756,390.2439024390244,69.1044776119403,30.895522388059703,19.560776302349336,80.43922369765066,2010
3,"Census Tract 3, Providence County, Rhode Island",,2693,638,,280,,240,,70,,262,,60,,15,,2251,339,34,31436,2790,2210,455,942,568,213,32,2210,479,1731,7377,1941,1140,87,578,411,2135,1379,232,680,152,44,7,300,,,,,80.68100358422939,12.150537634408602,20.588235294117645,385.7142857142857,78.32579185520362,21.67420814479638,26.31150874339162,73.68849125660837,2010
4,"Census Tract 4, Providence County, Rhode Island",,1363,199,,106,,163,,47,,76,,29,,21,,1201,96,27,24484,1384,1133,238,572,246,56,21,1133,287,846,4367,958,1045,44,156,86,1007,1108,58,179,0,44,7,400,,,,,86.77745664739885,6.9364161849710975,21.006178287731686,376.0504201680672,74.66902030008826,25.330979699911737,21.93725669796199,78.062743302038,2010
5,"Census Tract 5, Providence County, Rhode Island",,916,97,,55,,133,,16,,28,,26,,11,,841,75,0,21000,916,930,282,377,223,48,0,930,309,621,2976,371,1058,19,8,75,387,1133,78,8,0,44,7,500,,,,,91.8122270742358,8.187772925764191,30.32258064516129,229.78723404255322,66.77419354838709,33.225806451612904,12.466397849462366,87.53360215053763,2010
6,"Census Tract 6, Providence County, Rhode Island",,514,61,,6,,12,,69,,21,,0,,0,,389,39,0,31071,565,438,93,224,96,13,12,438,163,275,1994,923,418,41,94,115,977,479,54,106,0,44,7,600,,,,,68.84955752212389,6.902654867256637,21.232876712328768,370.96774193548384,62.78538812785388,37.21461187214612,46.2888665997994,53.71113340020061,2010
7,"Census Tract 7, Providence County, Rhode Island",,378,55,,38,,64,,37,,7,,0,,16,,319,13,19,13168,409,1039,465,484,71,19,0,1039,139,900,2370,490,393,100,75,128,580,510,112,75,0,44,7,700,,,,,77.99511002444987,3.1784841075794623,44.75457170356112,123.44086021505376,86.62175168431185,13.378248315688163,20.675105485232066,79.32489451476793,2010
8,"Census Tract 8, Providence County, Rhode Island",,1125,110,,61,,174,,51,,112,,88,,26,,684,111,26,13703,1197,1552,887,506,151,0,8,1552,17,1535,3619,2492,324,40,333,172,2613,423,95,377,0,44,7,800,,,,,57.14285714285714,9.273182957393484,57.1520618556701,74.97181510710259,98.90463917525774,1.095360824742268,68.8588007736944,31.14119922630561,2010
9,"Census Tract 9, Providence County, Rhode Island",,1189,137,,91,,100,,44,,45,,120,,17,,782,206,0,23636,1211,1012,432,365,182,33,0,1012,119,893,2598,1447,280,14,357,159,1582,364,84,394,0,44,7,900,,,,,64.57473162675474,17.010734929810074,42.68774703557312,134.25925925925927,88.2411067193676,11.758893280632412,55.69668976135489,44.30331023864511,2010
